Period,Year,Month,Price,Food_Name
2006-06,2006,6,3.11,"Oranges, 1kg"
2006-07,2006,7,2.78,"Oranges, 1kg"
2006-08,2006,8,2.43,"Oranges, 1kg"
2006-09,2006,9,2.42,"Oranges, 1kg"
2006-10,2006,10,3.04,"Oranges, 1kg"
2006-11,2006,11,3.24,"Oranges, 1kg"
2006-12,2006,12,3.27,"Oranges, 1kg"
2007-01,2007,1,3.18,"Oranges, 1kg"
2007-02,2007,2,3.74,"Oranges, 1kg"
2007-03,2007,3,4.21,"Oranges, 1kg"
2007-04,2007,4,4.16,"Oranges, 1kg"
2007-05,2007,5,4.29,"Oranges, 1kg"
2007-06,2007,6,3.6,"Oranges, 1kg"
2007-07,2007,7,3.14,"Oranges, 1kg"
2007-08,2007,8,2.62,"Oranges, 1kg"
2007-09,2007,9,2.47,"Oranges, 1kg"
2007-10,2007,10,2.5,"Oranges, 1kg"
2007-11,2007,11,2.93,"Oranges, 1kg"
2007-12,2007,12,3.28,"Oranges, 1kg"
2008-01,2008,1,3.16,"Oranges, 1kg"
2008-02,2008,2,3.08,"Oranges, 1kg"
2008-03,2008,3,3,"Oranges, 1kg"
2008-04,2008,4,2.67,"Oranges, 1kg"
2008-05,2008,5,2.66,"Oranges, 1kg"
2008-06,2008,6,3.43,"Oranges, 1kg"
2008-07,2008,7,3.19,"Oranges, 1kg"
2008-08,2008,8,2.6,"Oranges, 1kg"
2008-09,2008,9,2.73,"Oranges, 1kg"
2008-10,2008,10,3.32,"Oranges, 1kg"
2008-11,2008,11,3.62,"Oranges, 1kg"
2008-12,2008,12,3.71,"Oranges, 1kg"
2009-01,2009,1,4.48,"Oranges, 1kg"
2009-02,2009,2,4.34,"Oranges, 1kg"
2009-03,2009,3,4.06,"Oranges, 1kg"
2009-04,2009,4,4.25,"Oranges, 1kg"
2009-05,2009,5,4.21,"Oranges, 1kg"
2009-06,2009,6,3.57,"Oranges, 1kg"
2009-07,2009,7,3.21,"Oranges, 1kg"
2009-08,2009,8,2.7,"Oranges, 1kg"
2009-09,2009,9,2.62,"Oranges, 1kg"
2009-10,2009,10,2.72,"Oranges, 1kg"
2009-11,2009,11,2.96,"Oranges, 1kg"
2009-12,2009,12,3.24,"Oranges, 1kg"
2010-01,2010,1,3.47,"Oranges, 1kg"
2010-02,2010,2,3.25,"Oranges, 1kg"
2010-03,2010,3,3.21,"Oranges, 1kg"
2010-04,2010,4,3.18,"Oranges, 1kg"
2010-05,2010,5,3.45,"Oranges, 1kg"
2010-06,2010,6,3.4,"Oranges, 1kg"
2010-07,2010,7,3.11,"Oranges, 1kg"
2010-08,2010,8,2.61,"Oranges, 1kg"
2010-09,2010,9,2.52,"Oranges, 1kg"
2010-10,2010,10,2.84,"Oranges, 1kg"
2010-11,2010,11,3.58,"Oranges, 1kg"
2010-12,2010,12,3.76,"Oranges, 1kg"
2011-01,2011,1,3.72,"Oranges, 1kg"
2011-02,2011,2,3.51,"Oranges, 1kg"
2011-03,2011,3,2.98,"Oranges, 1kg"
2011-04,2011,4,3.23,"Oranges, 1kg"
2011-05,2011,5,3.54,"Oranges, 1kg"
2011-06,2011,6,3.2,"Oranges, 1kg"
2011-07,2011,7,2.65,"Oranges, 1kg"
2011-08,2011,8,2.36,"Oranges, 1kg"
2011-09,2011,9,2.64,"Oranges, 1kg"
2011-10,2011,10,2.89,"Oranges, 1kg"
2011-11,2011,11,2.97,"Oranges, 1kg"
2011-12,2011,12,3.42,"Oranges, 1kg"
2012-01,2012,1,3.28,"Oranges, 1kg"
2012-02,2012,2,3.15,"Oranges, 1kg"
2012-03,2012,3,2.94,"Oranges, 1kg"
2012-04,2012,4,3.16,"Oranges, 1kg"
2012-05,2012,5,3.32,"Oranges, 1kg"
2012-06,2012,6,3.31,"Oranges, 1kg"
2012-07,2012,7,2.72,"Oranges, 1kg"
2012-08,2012,8,2.54,"Oranges, 1kg"
2012-09,2012,9,2.5,"Oranges, 1kg"
2012-10,2012,10,2.57,"Oranges, 1kg"
2012-11,2012,11,2.85,"Oranges, 1kg"
2012-12,2012,12,3.31,"Oranges, 1kg"
2013-01,2013,1,2.99,"Oranges, 1kg"
2013-02,2013,2,2.78,"Oranges, 1kg"
2013-03,2013,3,2.83,"Oranges, 1kg"
2013-04,2013,4,2.75,"Oranges, 1kg"
2013-05,2013,5,3.18,"Oranges, 1kg"
2013-06,2013,6,3.31,"Oranges, 1kg"
2013-07,2013,7,2.69,"Oranges, 1kg"
2013-08,2013,8,2.69,"Oranges, 1kg"
2013-09,2013,9,2.68,"Oranges, 1kg"
2013-10,2013,10,2.76,"Oranges, 1kg"
2013-11,2013,11,3.1,"Oranges, 1kg"
2013-12,2013,12,3.51,"Oranges, 1kg"
2014-01,2014,1,3.47,"Oranges, 1kg"
2014-02,2014,2,3.48,"Oranges, 1kg"
2014-03,2014,3,3.63,"Oranges, 1kg"
2014-04,2014,4,3.88,"Oranges, 1kg"
2014-05,2014,5,3.79,"Oranges, 1kg"
2014-06,2014,6,3.45,"Oranges, 1kg"
2014-07,2014,7,3.02,"Oranges, 1kg"
2014-08,2014,8,2.36,"Oranges, 1kg"
2014-09,2014,9,2.43,"Oranges, 1kg"
2014-10,2014,10,2.52,"Oranges, 1kg"
2014-11,2014,11,2.62,"Oranges, 1kg"
2014-12,2014,12,3.09,"Oranges, 1kg"
2015-01,2015,1,3.51,"Oranges, 1kg"
2015-02,2015,2,3.63,"Oranges, 1kg"
2015-03,2015,3,3.6,"Oranges, 1kg"
2015-04,2015,4,3.67,"Oranges, 1kg"
2015-05,2015,5,3.56,"Oranges, 1kg"
2015-06,2015,6,3.57,"Oranges, 1kg"
2015-07,2015,7,3.02,"Oranges, 1kg"
2015-08,2015,8,2.81,"Oranges, 1kg"
2015-09,2015,9,2.86,"Oranges, 1kg"
2015-10,2015,10,2.75,"Oranges, 1kg"
2015-11,2015,11,3.11,"Oranges, 1kg"
2015-12,2015,12,3.43,"Oranges, 1kg"
2016-01,2016,1,3.9,"Oranges, 1kg"
2016-02,2016,2,3.94,"Oranges, 1kg"
2016-03,2016,3,3.85,"Oranges, 1kg"
2016-04,2016,4,3.86,"Oranges, 1kg"
2016-05,2016,5,4,"Oranges, 1kg"
2016-06,2016,6,3.65,"Oranges, 1kg"
2016-07,2016,7,3.07,"Oranges, 1kg"
